milliseconds,paper,gear,position
3241,1,1,36732
3251,1,1,36947
3261,1,1,37189
3271,1,1,37430
3281,1,1,37673
3291,1,1,37889
3301,1,1,38130
3311,1,1,38372
3321,1,1,38614
3331,1,1,38831
3341,1,1,39073
3351,1,1,39315
3361,1,1,39557
3371,1,1,39775
3381,1,1,40016
3391,1,1,40259
3401,1,1,40501
3411,1,1,40741
3421,1,1,40958
3431,1,1,41200
3441,1,1,41441
3451,1,1,41682
3461,1,1,41900
3471,1,1,42142
3481,1,1,42383
3491,1,1,42625
3501,1,1,42841
3511,1,1,43084
3521,1,1,43325
3531,1,1,43566
3542,1,1,43808
3551,1,1,44025
3561,1,1,44268
3571,1,1,44510
3581,1,1,44752
3591,1,1,44970
3601,1,1,45210
3611,1,1,45451
3621,1,1,45692
3631,1,1,45910
3641,1,1,46151
3651,1,1,46393
3661,1,1,46634
3671,1,1,46852
3681,1,1,47094
3691,1,1,47335
3701,1,1,47576
3712,1,1,47819
3721,1,1,48037
3731,1,1,48278
3741,1,1,48520
3751,1,1,48762
3761,1,1,48981
3771,1,1,49221
3781,1,1,49461
3791,1,1,49703
3801,1,1,49920
3811,1,1,50162
3821,1,1,50403
3831,1,1,50645
3841,1,1,50862
3851,1,1,51104
3861,1,1,51345
3871,1,1,51587
3881,1,1,51829
3891,1,1,52046
3901,1,1,52287
3911,1,1,52530
3921,1,1,52773
3931,1,1,52990
3941,1,1,53232
3951,1,1,53473
3961,1,1,53715
3971,1,1,53932
3981,1,1,54172
3991,1,1,54413
4001,1,1,54655
4011,1,1,54873
4021,1,1,55114
4031,1,1,55356
4041,1,1,55598
4051,1,1,55839
4061,1,1,56056
4071,1,1,56298
4081,1,1,56540
4091,1,1,56782
4101,1,1,56999
4111,1,1,57241
4121,1,1,57484
4131,1,1,57724
4141,1,1,57940
4151,1,1,58182
4161,1,1,58424
4171,1,1,58665
4182,1,1,58906
4191,1,1,59125
4201,1,1,59367
4211,1,1,59608
4221,1,1,59849
4231,1,1,60066
4241,1,1,60309
4251,1,1,60550
4261,1,1,60793
4271,1,1,61009
4281,1,1,61252
4291,1,1,61494
4301,1,1,61734
4311,1,1,61951
4321,1,1,62193
4331,1,1,62434
4341,1,1,62675
4352,1,1,62917
4361,1,1,63135
4371,1,1,63377
4381,1,1,63618
4391,1,1,63859
4401,1,1,64077
4411,1,1,64318
4421,1,1,64560
4431,1,1,64801
4441,1,1,65020
4451,1,1,65263
4461,1,1,65503
4471,1,1,65745
4481,1,1,65963
4491,1,1,66204
4501,1,1,66445
4511,1,1,66686
4521,1,1,66928
4531,1,1,67146
4541,1,1,67387
4551,1,1,67628
4561,1,1,67870
4571,1,1,68088
4581,1,1,68329
