timestamp,count,min_us_enc
16,1799,28
647268,-1799,-28
792052,1799,28
1326628,-1799,-28
1797032,28019,36
9102316,2699,36
9359972,-2698,-38
9619112,-15001,-68
11441856,1799,28
11604168,-1798,-28
11752468,1799,28
11900000,-1799,-28
12521884,251198,28
27051760,-25118,-28
28187216,1799,28
