From mainboard,data,48.4553772,4.20E-05,0x04,00000100
From mainboard,data,48.4554462,4.20E-05,0x4D,01001101
From mainboard,data,48.4556067,4.20E-05,0x04,00000100
From mainboard,data,48.4556757,4.20E-05,0xC8,11001000
From mainboard,data,48.4558142,4.20E-05,0x04,00000100
From mainboard,data,48.4558832,4.20E-05,0x30,00110000
From mainboard,data,48.4559967,4.20E-05,0x06,00000110
From mainboard,data,48.4560657,4.20E-05,0xC4,11000100
From mainboard,data,48.4562267,4.20E-05,0x00,00000000
From mainboard,data,48.4562957,4.20E-05,0x00,00000000
From mainboard,data,48.4563647,4.20E-05,0x00,00000000
From mainboard,data,48.4564337,4.20E-05,0x00,00000000
From mainboard,data,48.4565032,4.20E-05,0x00,00000000
From mainboard,data,48.4565722,4.20E-05,0x00,00000000
From mainboard,data,48.4566412,4.20E-05,0x00,00000000
From mainboard,data,48.4567102,4.20E-05,0x00,00000000
From mainboard,data,48.4567792,4.20E-05,0x00,00000000
From mainboard,data,48.4568487,4.20E-05,0x00,00000000
From mainboard,data,48.4569177,4.20E-05,0x20,00100000
From mainboard,data,48.4569867,4.20E-05,0x20,00100000
From mainboard,data,48.4570557,4.20E-05,0x7F,01111111
From mainboard,data,48.4571247,4.20E-05,0x00,00000000
From mainboard,data,48.4571937,4.20E-05,0x00,00000000
From mainboard,data,48.4572627,4.20E-05,0x00,00000000
From mainboard,data,48.4573322,4.20E-05,0x00,00000000
From mainboard,data,48.4574012,4.20E-05,0x1F,00011111
From mainboard,data,48.4574702,4.20E-05,0x20,00100000
From mainboard,data,48.4575392,4.20E-05,0x40,01000000
From mainboard,data,48.4576082,4.20E-05,0x40,01000000
From mainboard,data,48.4576777,4.20E-05,0x20,00100000
From mainboard,data,48.4577467,4.20E-05,0x1F,00011111
From mainboard,data,48.4578157,4.20E-05,0x00,00000000
From mainboard,data,48.4578847,4.20E-05,0x00,00000000
From mainboard,data,48.4579537,4.20E-05,0x1F,00011111
From mainboard,data,48.4580227,4.20E-05,0x20,00100000
From mainboard,data,48.4580917,4.20E-05,0x40,01000000
From mainboard,data,48.4582992,4.20E-05,0x40,01000000
From mainboard,data,48.4583682,4.20E-05,0x20,00100000
From mainboard,data,48.4584372,4.20E-05,0x1F,00011111
From mainboard,data,48.4585062,4.20E-05,0x00,00000000
From mainboard,data,48.4585757,4.20E-05,0x00,00000000
From mainboard,data,48.4586447,4.20E-05,0x38,00111000
From mainboard,data,48.4587137,4.20E-05,0x44,01000100
From mainboard,data,48.4587827,4.20E-05,0x44,01000100
From mainboard,data,48.4588517,4.20E-05,0x38,00111000
From mainboard,data,48.4589207,4.20E-05,0x03,00000011
From mainboard,data,48.4589897,4.20E-05,0x04,00000100
From mainboard,data,48.4590592,4.20E-05,0x18,00011000
