timestamp,count
16,1799
10103348,2701
10576052,-1800
10725760,-1800
13575060,28019
17986308,2701
18248688,-2699
18507488,-15001
20328884,1799
22608916,-1799
22756164,1800
22899948,-1799
23511624,1799
24736472,-1800
24882700,1800
25415252,-1800
25897344,28019
33191824,2700
33446480,-2699
33705508,-15000
35524304,1800
35688356,-1800
35830704,1799
35978096,-1799
36626516,251199
51158788,-25119
52290504,1790
