milliseconds,paper,gear,position
1,1,1,0
11,1,1,0
21,1,1,0
31,1,1,0
41,1,1,1
51,1,1,105
61,1,1,269
71,1,1,486
81,1,1,718
91,1,1,932
101,1,1,1172
111,1,1,1414
121,1,1,1619
131,1,1,1722
141,1,1,1766
151,1,1,1786
161,1,1,1792
171,1,1,1795
181,1,1,1800
191,1,1,1800
201,1,1,1800
211,1,1,1800
221,1,1,1800
231,1,1,1800
241,1,1,1800
251,1,1,1800
261,1,1,1800
271,1,1,1800
281,1,1,1800
291,1,1,1800
301,1,1,1800
311,1,1,1800
321,1,1,1800
331,1,1,1800
342,1,1,1800
351,1,1,1800
361,1,1,1800
371,1,1,1800
381,1,1,1800
391,1,1,1800
401,1,1,1800
411,1,1,1800
421,1,1,1800
431,1,1,1800
441,1,1,1800
451,1,1,1800
461,1,1,1800
471,1,1,1800
481,1,1,1800
491,1,1,1800
501,1,1,1800
512,1,1,1800
521,1,1,1766
531,1,1,1623
541,1,1,1426
551,1,1,1199
561,1,1,986
571,1,1,747
581,1,1,506
591,1,1,274
601,1,1,124
611,1,1,50
621,1,1,21
631,1,1,10
641,1,1,7
651,1,1,0
661,1,1,0
671,1,1,0
681,1,1,1
691,1,1,1
701,1,1,1
711,1,1,1
721,1,1,0
731,1,1,1
741,1,1,0
751,1,1,1
761,1,1,1
771,1,1,1
781,1,1,1
791,1,1,1
801,1,1,1
811,1,1,1
821,1,1,1
831,1,1,1
841,1,1,1
851,1,1,1
861,1,1,1
871,1,1,1
881,1,1,1
891,1,1,1
901,1,1,1
911,1,1,1
921,1,1,1
931,1,1,1
941,1,1,1
951,1,1,1
961,1,1,1
971,1,1,1
982,1,1,1
991,1,1,1
1001,1,1,1
1011,1,1,1
1021,1,1,1
1031,1,1,1
1041,1,1,1
1051,1,1,1
1061,1,1,113
1071,1,1,261
1081,1,1,477
1091,1,1,708
1101,1,1,946
1111,1,1,1162
1121,1,1,1404
1131,1,1,1612
1141,1,1,1726
1152,1,1,1768
1161,1,1,1786
1171,1,1,1792
1181,1,1,1796
1191,1,1,1800
1201,1,1,1767
1211,1,1,1625
1221,1,1,1428
1231,1,1,1200
1241,1,1,987
1251,1,1,749
1261,1,1,508
1271,1,1,276
1281,1,1,125
1291,1,1,51
1301,1,1,22
1311,1,1,10
1321,1,1,6
1331,1,1,0
1341,1,1,0
1351,1,1,111
1361,1,1,280
1371,1,1,472
1381,1,1,703
1391,1,1,941
1401,1,1,1180
1411,1,1,1398
1421,1,1,1608
1431,1,1,1724
1441,1,1,1768
1451,1,1,1786
1461,1,1,1792
1471,1,1,1796
1481,1,1,1800
1491,1,1,1799
1501,1,1,1800
1511,1,1,1799
1521,1,1,1799
1531,1,1,1799
1541,1,1,1799
1551,1,1,1799
1561,1,1,1799
1571,1,1,1799
1581,1,1,1799
1591,1,1,1799
1601,1,1,1799
1611,1,1,1799
1622,1,1,1799
1631,1,1,1799
1641,1,1,1799
1651,1,1,1799
1661,1,1,1799
1671,1,1,1799
1681,1,1,1799
1691,1,1,1799
1701,1,1,1799
1711,1,1,1799
1721,1,1,1799
1731,1,1,1800
1741,1,1,1799
1751,1,1,1799
1761,1,1,1799
1771,1,1,1799
1781,1,1,1799
1792,1,1,1799
1801,1,1,1799
1811,1,1,1799
1821,1,1,1799
1831,1,1,1799
1841,1,1,1799
1851,1,1,1799
1861,1,1,1799
1871,1,1,1799
1881,1,1,1799
1891,1,1,1799
1901,1,1,1799
1911,1,1,1799
1921,1,1,1799
1931,1,1,1799
1941,1,1,1799
1951,1,1,1799
1961,1,1,1799
1971,1,1,1799
1981,1,1,1698
1991,1,1,1531
2001,1,1,1314
2011,1,1,1104
2021,1,1,866
2031,1,1,626
2041,1,1,385
2051,1,1,196
2061,1,1,77
2071,1,1,33
2081,1,1,13
2091,1,1,8
2101,1,1,5
2111,1,1,0
2121,1,1,0
2131,1,1,0
2141,1,1,0
2151,1,1,0
2161,1,1,0
2171,1,1,0
2181,1,1,0
2191,1,1,0
2201,1,1,0
2211,1,1,0
2221,1,1,0
2231,1,1,0
2241,1,1,0
2251,1,1,0
2262,1,1,0
2271,1,1,0
2281,1,1,0
2291,1,1,0
2301,1,1,0
2311,1,1,0
2321,1,1,0
2331,1,1,0
2341,1,1,0
2351,1,1,0
2361,1,1,0
2371,1,1,0
2381,1,1,0
2391,1,1,0
2401,1,1,0
2411,1,1,0
2421,1,1,0
2432,1,1,0
2441,1,1,0
2451,1,1,0
2461,1,1,0
2471,1,1,0
2481,1,1,0
2491,1,1,0
2501,1,1,0
2511,1,1,0
2521,1,1,0
2531,1,1,0
2541,1,1,0
2551,1,1,111
2561,1,1,258
2571,1,1,473
2581,1,1,704
2591,1,1,942
2601,1,1,1182
