timestamp,count
16,1800
4698788,-1800
4842520,1800
5373548,-1793
5835112,1793
6388616,-1799
6531348,1799
6678892,-1800
7302696,42559
9173356,-1798
10318252,58798
11983180,-1799
12330432,12440
13147280,-1791
13276056,60190
17186072,251200
30350272,-25118
31484676,251198
55180488,-25118
56316824,1799
56470160,-1800
56616216,1800
57155360,-1799
57634476,-49712
59883124,-1320
61026092,-22590
61813408,2998
61996196,-12028
62397264,5928
62890992,-1192
63029240,-969
63528760,-962
64001516,-961
64472800,-962
64943088,-961
65414452,-962
65884528,-962
66355324,-961
66828024,-963
67299556,-963
67768036,-961
68410568,-962
68881060,-962
69352284,-960
69821044,-962
70292656,-962
70765316,-962
71237972,-961
71706156,-961
72175184,-962
72646756,-962
73290848,-961
73762616,-962
74231908,-960
74699996,-962
75170948,-962
75643668,-962
76112832,-961
76583780,-961
77054296,-962
77525588,-962
78170520,-961
78640888,-962
79112860,-961
79582436,-961
80052108,-963
80525044,-961
80993560,-961
81463724,-962
81935712,-961
82404316,-961
83048088,-962
83518920,-961
83989756,-962
84461596,-962
84932788,-961
85402652,-961
85873244,-962
86345992,-961
86816052,-954
87268280,-969
87931784,-962
88402168,-961
88872276,-961
89342020,-963
89814936,-961
90284244,-962
90756952,-962
91227640,-961
91698664,-962
92169636,-961
92641568,-962
93110396,-962
93755864,-961
94225820,-961
94694924,-962
95165776,-962
95640096,-960
96104448,-962
96578492,-962
97050688,-961
97519664,-962
97990988,-961
98635976,-962
99105028,-962
99574444,-962
100046504,-963
100517848,-962
100988360,-963
101460140,-963
101931640,-962
102403216,-963
102871988,-963
103516684,-3606
104071672,-12905
104386284,-3283
104925544,2702
105274164,-1604
105417684,28021
