timestamp,duration,count
5296532,3577872,1801
8874404,472932,2700
9347336,143816,-1799
9491152,2845896,-1800
12337048,4411276,28018
16748324,255420,2700
17003744,256280,-2698
17260024,1816416,-15001
19076440,2203400,1799
21279840,145288,-1799
21425128,144748,1799
21569876,630252,-1799
