timestamp,position,count,us_enc,enc/us
2809172,2586,1,73,0.01369863
2810196,2600,1,73,0.01369863
2811228,2614,1,66,0.015151515
2812288,2630,1,69,0.014492754
2813324,2645,1,69,0.014492754
2814364,2660,1,70,0.014285714
2815424,2675,1,69,0.014492754
2816460,2690,1,70,0.014285714
2817524,2705,1,70,0.014285714
2818576,2720,1,73,0.01369863
2819600,2734,1,66,0.015151515
2820660,2750,1,73,0.01369863
2821684,2764,1,70,0.014285714
2822744,2779,1,69,0.014492754
2823784,2794,1,69,0.014492754
2824828,2809,1,66,0.015151515
2825892,2825,1,69,0.014492754
2826932,2840,1,70,0.014285714
2827984,2855,1,67,0.014925373
2829056,2871,1,69,0.014492754
2830100,2886,1,70,0.014285714
2831152,2901,1,65,0.015384615
2832204,2917,1,70,0.014285714
2833264,2932,1,67,0.014925373
2834336,2948,1,69,0.014492754
2835380,2963,1,66,0.015151515
2836440,2979,1,70,0.014285714
2837492,2994,1,67,0.014925373
2838568,3010,1,73,0.01369863
2839592,3024,1,66,0.015151515
2840656,3040,1,70,0.014285714
2841708,3055,1,70,0.014285714
2842760,3070,1,74,0.013513514
2843804,3084,1,70,0.014285714
2844856,3099,1,68,0.014705882
2845888,3114,1,66,0.015151515
2846952,3130,1,69,0.014492754
2847996,3145,1,68,0.014705882
2849024,3160,1,71,0.014084507
2850092,3175,1,70,0.014285714
2851144,3190,1,70,0.014285714
2852200,3205,1,70,0.014285714
2853252,3220,1,69,0.014492754
2854288,3235,1,70,0.014285714
2855348,3250,1,68,0.014705882
2856376,3265,1,74,0.013513514
2857416,3279,1,67,0.014925373
2858488,3295,1,64,0.015625
2859524,3311,1,70,0.014285714
2860584,3326,1,69,0.014492754
2861624,3341,1,69,0.014492754
2862660,3356,1,69,0.014492754
2863704,3371,1,70,0.014285714
2864764,3386,1,69,0.014492754
2865812,3401,1,67,0.014925373
2866884,3417,1,69,0.014492754
2867928,3432,1,70,0.014285714
2868980,3447,1,70,0.014285714
2870032,3462,1,65,0.015384615
2871084,3478,1,75,0.013333333
2872136,3492,1,69,0.014492754
2873184,3507,1,70,0.014285714
2874240,3522,1,66,0.015151515
2875300,3538,1,70,0.014285714
2876352,3553,1,74,0.013513514
2877392,3567,1,70,0.014285714
2878444,3582,1,67,0.014925373
2879524,3598,1,70,0.014285714
2880576,3613,1,70,0.014285714
2881628,3628,1,70,0.014285714
2882680,3643,1,70,0.014285714
2883732,3658,1,73,0.01369863
2884756,3672,1,70,0.014285714
2885812,3687,1,69,0.014492754
2886848,3702,1,66,0.015151515
2887908,3718,1,74,0.013513514
2888952,3732,1,70,0.014285714
2890004,3747,1,65,0.015384615
2891056,3763,1,69,0.014492754
2892092,3778,1,65,0.015384615
2893136,3794,1,74,0.013513514
2894176,3808,1,66,0.015151515
2895240,3824,1,70,0.014285714
2896292,3839,1,68,0.014705882
2897324,3854,1,69,0.014492754
2898368,3869,1,69,0.014492754
2899412,3884,1,66,0.015151515
2900472,3900,1,70,0.014285714
2901524,3915,1,69,0.014492754
2902560,3930,1,66,0.015151515
2903620,3946,1,73,0.01369863
2904644,3960,1,70,0.014285714
2905708,3975,1,69,0.014492754
2906744,3990,1,66,0.015151515
2907812,4006,1,69,0.014492754
2908856,4021,1,74,0.013513514
2909900,4035,1,70,0.014285714
2910952,4050,1,66,0.015151515
2912020,4066,1,65,0.015384615
2913064,4082,1,71,0.014084507
2914136,4097,1,69,0.014492754
2915172,4112,1,70,0.014285714
2916232,4127,1,70,0.014285714
2917284,4142,1,70,0.014285714
2918336,4157,1,70,0.014285714
2919388,4172,1,70,0.014285714
2920440,4187,1,71,0.014084507
2921508,4202,1,70,0.014285714
2922560,4217,1,74,0.013513514
2923604,4231,1,68,0.014705882
2924636,4246,1,70,0.014285714
2925696,4261,1,74,0.013513514
2926732,4275,1,74,0.013513514
2927776,4289,1,74,0.013513514
2928824,4303,1,79,0.012658228
2929852,4316,1,79,0.012658228
2930884,4329,1,92,0.010869565
2931896,4340,1,92,0.010869565
2932912,4351,1,92,0.010869565
2933924,4362,1,92,0.010869565
2934940,4373,1,110,0.009090909
2935936,4382,1,111,0.009009009
2936940,4391,1,115,0.008695652
2937980,4400,1,130,0.007692308
